Date,Y_Total,D_Total
2020-03-12,550.0,550.0
2020-03-13,9882.0,3738.0
2020-03-14,3951.0,642.0
2020-03-15,28114.0,1462.0
2020-03-16,50118.0,4371.0
2020-03-17,62546.0,2256.0
2020-03-18,41725.0,2197.0
2020-03-19,37393.0,1413.0
2020-03-20,31459.0,795.0
2020-03-21,16364.0,308.0
2020-03-22,25129.0,241.0
2020-03-23,43312.0,952.0
2020-03-24,44744.0,714.0
2020-03-25,55881.0,1293.0
2020-03-26,57838.0,1342.0
2020-03-27,89815.0,2056.0
2020-03-28,61606.0,952.0
2020-03-29,20956.0,220.0
2020-03-30,42744.0,608.0
2020-03-31,44243.0,679.0
2020-04-01,22956.0,506.0
2020-04-02,82182.0,1297.0
2020-04-03,36479.0,692.0
2020-04-04,50022.0,718.0
2020-04-05,50945.0,413.0
2020-04-06,64906.0,716.0
2020-04-07,66870.0,740.0
2020-04-08,82912.0,1258.0
2020-04-09,71083.0,1083.0
2020-04-10,14714.0,308.0
2020-04-11,74872.0,742.0
2020-04-12,60834.0,358.0
2020-04-13,30922.0,206.0
2020-04-14,78660.0,940.0
2020-04-15,65023.0,1191.0
2020-04-16,66234.0,794.0
2020-04-17,85086.0,1156.0
2020-04-18,87012.0,857.0
2020-04-19,52900.0,193.0
2020-04-20,107120.0,782.0
2020-04-21,72101.0,373.0
2020-04-22,109860.0,1164.0
2020-04-23,74320.0,664.0
2020-04-24,76980.0,1300.0
2020-04-25,157216.0,1872.0
2020-04-26,99863.0,758.0
2020-04-27,81253.0,585.0
2020-04-28,62610.0,864.0
2020-04-29,42678.0,618.0
2020-04-30,174822.0,2094.0
2020-05-01,88528.0,180.0
2020-05-02,68271.0,750.0
2020-05-03,69744.0,651.0
2020-05-04,71170.0,841.0
2020-05-05,121260.0,1170.0
2020-05-06,74840.0,833.0
2020-05-07,25831.0,466.0
2020-05-08,131022.0,1112.0
2020-05-09,53500.0,552.0
2020-05-10,135264.0,369.0
2020-05-11,246368.0,2279.0
2020-05-12,198443.0,5236.0
2020-05-13,291334.0,4344.0
2020-05-14,150723.0,2898.0
2020-05-15,124591.0,2919.0
2020-05-16,127964.0,1780.0
2020-05-17,164860.0,2800.0
2020-05-18,272378.0,5330.0
2020-05-19,245732.0,4204.0
2020-05-20,110064.0,2424.0
2020-05-21,150485.0,1821.0
2020-05-22,77253.0,949.0
2020-05-23,198708.0,2398.0
2020-05-24,161691.0,959.0
2020-05-25,207607.0,2927.0
2020-05-26,128624.0,2207.0
2020-05-27,132744.0,2178.0
2020-05-28,364895.0,5967.0
2020-05-29,94788.0,2078.0
2020-05-30,338578.0,3978.0
2020-05-31,148347.0,1617.0
2020-06-01,199669.0,605.0
2020-06-02,310006.0,6370.0
2020-06-03,212158.0,3306.0
2020-06-04,217401.0,2497.0
2020-06-05,111858.0,2000.0
2020-06-06,227472.0,1896.0
2020-06-07,173606.0,818.0
2020-06-08,356898.0,7014.0
2020-06-09,423047.0,4174.0
2020-06-10,435562.0,6476.0
2020-06-11,191155.0,2548.0
2020-06-12,258848.0,1444.0
2020-06-13,262506.0,1694.0
2020-06-14,332531.0,1581.0
2020-06-15,410544.0,7554.0
2020-06-16,771667.0,14900.0
2020-06-17,645813.0,9558.0
2020-06-18,586979.0,7379.0
2020-06-19,376086.0,5121.0
2020-06-20,228728.0,1298.0
2020-06-21,309391.0,1823.0
2020-06-22,549934.0,5719.0
2020-06-23,239746.0,1594.0
2020-06-24,574760.0,6703.0
2020-06-25,421423.0,7413.0
2020-06-26,685856.0,9040.0
2020-06-27,434670.0,2915.0
2020-06-28,351546.0,1798.0
2020-06-29,535112.0,4832.0
2020-06-30,912147.0,12467.0
2020-07-01,929462.0,10652.0
2020-07-02,1135742.0,12518.0
2020-07-03,1542025.0,15033.0
2020-07-04,779895.0,2735.0
2020-07-05,886095.0,2691.0
2020-07-06,1394599.0,10195.0
2020-07-07,404710.0,2766.0
2020-07-08,412891.0,3707.0
2020-07-09,522133.0,1878.0
2020-07-10,427825.0,5029.0
2020-07-11,430049.0,1097.0
2020-07-12,325715.0,1385.0
2020-07-13,327911.0,1508.0
2020-07-14,220800.0,994.0
2020-07-15,558589.0,4669.0
2020-07-16,565632.0,3787.0
2020-07-17,344808.0,2826.0
2020-07-18,348275.0,1712.0
2020-07-19,584042.0,1787.0
2020-07-20,471939.0,3047.0
2020-07-21,238616.0,1434.0
2020-07-22,121329.0,1183.0
2020-07-23,245006.0,1726.0
2020-07-24,247514.0,1668.0
2020-07-25,249429.0,881.0
2020-07-26,125552.0,378.0
2020-07-27,126440.0,538.0
2020-07-28,255094.0,764.0
2020-07-29,129025.0,475.0
2020-07-30,261112.0,1256.0
2020-07-31,527399.0,2499.0
2020-08-01,530798.0,906.0
2020-08-02,133204.0,65.0
2020-08-03,268870.0,1236.0
2020-08-04,406634.0,1826.0
2020-08-05,136293.0,170.0
2020-08-06,137446.0,136.0
2020-08-07,557141.0,3393.0
2020-08-08,140082.0,451.0
2020-08-09,562923.0,1119.0
2020-08-10,282819.0,537.0
2020-08-11,142362.0,189.0
2020-08-12,431196.0,1308.0
2020-08-13,289322.0,440.0
2020-08-14,292029.0,951.0
2020-08-15,146807.0,251.0
2020-08-16,147401.0,61.0
2020-08-17,594822.0,2826.0
2020-08-18,448607.0,1349.0
2020-08-19,150791.0,426.0
2020-08-20,455779.0,880.0
2020-08-21,306850.0,1222.0
2020-08-22,154494.0,486.0
2020-08-23,309737.0,223.0
2020-08-24,156779.0,1292.0
2020-08-25,945709.0,4675.0
2020-08-26,477650.0,2717.0
2020-08-27,803607.0,4432.0
2020-08-28,161635.0,317.0
2020-08-29,162839.0,320.0
2020-08-30,163892.0,534.0
2020-08-31,662217.0,5329.0
2020-09-01,1502416.0,9136.0
2020-09-02,844378.0,4838.0
2020-09-03,1541281.0,12460.0
2020-09-04,867234.0,7349.0
2020-09-05,698575.0,2735.0
2020-09-06,525990.0,492.0
2020-09-07,1777362.0,15622.0
2020-09-08,1439384.0,12000.0
2020-09-09,908727.0,5057.0
2020-09-10,737152.0,6816.0
2020-09-11,930448.0,6653.0
2020-09-12,749450.0,2006.0
2020-09-13,565836.0,1515.0
2020-09-14,951237.0,6327.0
2020-09-15,1546529.0,15985.0
2020-09-16,1955192.0,15722.0
2020-09-17,1188588.0,9660.0
2020-09-18,1599890.0,7370.0
2020-09-19,605959.0,1231.0
2020-09-20,1216023.0,2043.0
2020-09-21,821578.0,8030.0
2020-09-22,620138.0,2765.0
2020-09-23,627456.0,3666.0
2020-09-24,423574.0,2710.0
2020-09-25,643517.0,4967.0
2020-09-26,645968.0,863.0
2020-09-27,865295.0,1123.0
2020-09-28,1088451.0,4936.0
2020-09-29,1756926.0,7542.0
2020-09-30,1333561.0,6751.0
2020-10-01,1351075.0,8851.0
2020-10-02,907376.0,3488.0
2020-10-03,683110.0,754.0
2020-10-04,915236.0,1468.0
2020-10-05,1384441.0,8569.0
2020-10-06,233595.0,2083.0
2020-10-07,941163.0,6087.0
2020-10-08,713901.0,5172.0
2020-10-09,958391.0,3939.0
2020-10-10,482981.0,1113.0
2020-10-11,485671.0,1115.0
2020-10-12,489991.0,3651.0
2020-10-13,988263.0,6695.0
2020-10-14,497252.0,1990.0
2020-10-15,1006957.0,7237.0
2020-10-16,1267048.0,6478.0
2020-10-17,509441.0,1101.0
2020-10-18,1023367.0,2003.0
2020-10-19,257608.0,1356.0
2020-10-20,1035140.0,3232.0
2020-10-21,780869.0,2066.0
2020-10-22,524147.0,1865.0
2020-10-23,263471.0,1249.0
2020-10-24,527611.0,343.0
2020-10-25,264725.0,37.0
2020-10-26,788229.0,3020.0
2020-10-27,802616.0,2654.0
2020-10-28,804546.0,327.0
2020-10-29,270723.0,1170.0
2020-10-30,271456.0,325.0
2020-10-31,816791.0,806.0
2020-11-01,545777.0,723.0
2020-11-02,1368128.0,3008.0
2020-11-03,550379.0,2055.0
2020-11-04,1102879.0,1523.0
2020-11-05,277373.0,879.0
2020-11-06,555768.0,386.0
2020-11-07,279350.0,455.0
2020-11-08,279765.0,355.0
2020-11-09,280707.0,833.0
2020-11-10,843689.0,980.0
2020-11-11,282291.0,81.0
2020-11-12,283697.0,722.0
2020-11-13,569396.0,882.0
2020-11-14,286173.0,644.0
2020-11-15,286301.0,118.0
2020-11-16,574597.0,1525.0
2020-11-17,288975.0,1280.0
2020-11-18,289572.0,552.0
2020-11-19,582450.0,1816.0
2020-11-20,292450.0,903.0
2020-11-21,293367.0,612.0
2020-11-22,588101.0,945.0
2020-11-23,1473708.0,2943.0
2020-11-24,296479.0,1200.0
2020-11-25,892055.0,2330.0
2020-11-26,298375.0,823.0
2020-11-27,598973.0,1687.0
2020-11-28,1799603.0,1175.0
2020-11-29,602297.0,687.0
2020-11-30,605299.0,1871.0
2020-12-01,303531.0,558.0
2020-12-02,1522142.0,1197.0
2020-12-03,1835845.0,2833.0
2020-12-04,614784.0,1062.0
2020-12-05,616897.0,987.0
2020-12-06,1236344.0,672.0
2020-12-07,620516.0,1222.0
2020-12-08,310940.0,184.0
2020-12-09,1249435.0,2175.0
2020-12-10,313892.0,802.0
2020-12-11,314166.0,226.0
2020-12-12,945409.0,1429.0
2020-12-13,1578543.0,1208.0
2020-12-14,316334.0,120.0
2020-12-15,317322.0,100.0
2020-12-17,1278137.0,1325.0
2020-12-18,1602640.0,2230.0
2020-12-19,963978.0,825.0
2020-12-20,643630.0,40.0
2020-12-21,968749.0,2062.0
2020-12-22,969938.0,671.0
2020-12-23,324478.0,496.0
2020-12-24,974347.0,427.0
2020-12-25,650668.0,262.0
2020-12-26,325679.0,254.0
2020-12-27,977677.0,154.0
2020-12-28,652873.0,591.0
2020-12-29,654106.0,732.0
2020-12-30,327961.0,623.0
2020-12-31,656436.0,480.0
2021-01-01,390.0,390.0
2021-01-02,1085.0,323.0
2021-01-03,1551.0,43.0
2021-01-04,3454.0,1166.0
2021-01-05,5120.0,654.0
2021-01-06,11925.0,1674.0
2021-01-07,15941.0,1883.0
2021-01-08,25014.0,1662.0
2021-01-09,36525.0,1425.0
2021-01-10,23320.0,190.0
2021-01-11,26387.0,1748.0
2021-01-12,29747.0,1511.0
2021-01-13,78215.0,3833.0
2021-01-14,63261.0,3416.0
2021-01-15,13387.0,149.0
2021-01-16,58712.0,1024.0
2021-01-17,46134.0,483.0
2021-01-18,82794.0,3324.0
2021-01-19,72255.0,3335.0
2021-01-20,115384.0,3484.0
2021-01-21,62042.0,2468.0
2021-01-22,21483.0,182.0
2021-01-23,69501.0,2112.0
2021-01-24,93760.0,368.0
2021-01-25,74096.0,2114.0
2021-01-26,103976.0,2732.0
2021-01-27,137030.0,3210.0
2021-01-28,85347.0,609.0
2021-01-29,90238.0,1132.0
2021-01-30,125215.0,755.0
2021-01-31,64224.0,748.0
2021-02-01,65997.0,1107.0
2021-02-02,139531.0,4511.0
2021-02-03,179599.0,2959.0
2021-02-04,112044.0,1446.0
2021-02-05,77515.0,809.0
2021-02-06,280705.0,1797.0
2021-02-07,41188.0,506.0
2021-02-08,125542.0,1432.0
2021-02-09,174932.0,4552.0
2021-02-10,90023.0,1757.0
2021-02-11,47201.0,1518.0
2021-02-12,143912.0,1895.0
2021-02-13,342686.0,3333.0
2021-02-14,198417.0,845.0
2021-02-15,101303.0,1433.0
2021-02-16,205619.0,1903.0
2021-02-17,105715.0,2201.0
2021-02-18,53709.0,570.0
2021-02-19,216866.0,1286.0
2021-02-20,166135.0,1075.0
2021-02-21,167491.0,466.0
2021-02-22,56674.0,422.0
2021-02-23,57578.0,742.0
2021-02-24,118091.0,2309.0
2021-02-25,119783.0,1457.0
2021-02-26,184278.0,2865.0
2021-02-27,371528.0,1076.0
2021-02-28,126399.0,971.0
2021-03-01,193481.0,3134.0
2021-03-02,265813.0,5365.0
2021-03-03,338601.0,4576.0
2021-03-04,207798.0,2379.0
2021-03-06,360891.0,1821.0
2021-03-07,293231.0,1579.0
2021-03-08,148899.0,1657.0
2021-03-09,380524.0,5229.0
2021-03-10,232441.0,2083.0
2021-03-13,412180.0,2240.0
2021-03-14,83423.0,352.0
2021-03-15,169795.0,2213.0
2021-03-16,344335.0,3347.0
